word,count,corpus,label,Zdenka_old_hand_label
ἐπιδείκνυμι,288,christian_0_300,-1.0,
κάθημαι,288,christian_0_300,-1.0,
ὑποτάσσω,288,christian_0_300,-1.0,
θνητός,287,christian_0_300,-1.0,
ἐπιγιγνώσκω,286,christian_0_300,-1,
διαλέγω,286,christian_0_300,-1.0,
πλήρωμα,285,christian_0_300,-1.0,
τυφλός,284,christian_0_300,-1.0,
ψευδής,284,christian_0_300,2.0,
ἱμάτιον,283,christian_0_300,-1.0,
νήπιος,282,christian_0_300,-1.0,
προσευχή,282,christian_0_300,-1.0,
διάνοια,282,christian_0_300,-1.0,
χαρά,281,christian_0_300,-1.0,
τύπος,281,christian_0_300,-1.0,
βάρβαρος,281,christian_0_300,6.0,
καταφρονέω,280,christian_0_300,3,
ἰάομαι,280,christian_0_300,-1.0,
ἐντυγχάνω,280,christian_0_300,-1.0,
οὖς,279,christian_0_300,-1.0,
περιπατέω,279,christian_0_300,-1.0,
λανθάνω,278,christian_0_300,2,
γενεά,278,christian_0_300,-1.0,
θεωρία,278,christian_0_300,-1.0,
τάξις,277,christian_0_300,-1.0,
Ἑβραῖος,277,christian_0_300,6,
ἀκοή,276,christian_0_300,-1.0,
φανερόω,276,christian_0_300,-1.0,
ἑρμηνεύω,276,christian_0_300,-1.0,
σχῆμα,276,christian_0_300,-1.0,
ἀπόδειξις,276,christian_0_300,-1.0,
μέλος,275,christian_0_300,-1.0,
ἐπουράνιος,275,christian_0_300,-1.0,
βίβλος,274,christian_0_300,-1.0,
ἀκάθαρτος,274,christian_0_300,1,
βούλημα,274,christian_0_300,-1.0,
σταυρός,273,christian_0_300,-1.0,
ἐκλέγω,273,christian_0_300,-1.0,
εὐφραίνω,273,christian_0_300,-1.0,
μιμνῄσκω,272,christian_0_300,-1.0,
γλῶσσα,271,christian_0_300,-1.0,
βουλή,271,christian_0_300,-1.0,
ποιμήν,269,christian_0_300,-1.0,
ἁπλόος,269,christian_0_300,-1.0,
φωτίζω,269,christian_0_300,-1.0,
ἀνάγω,268,christian_0_300,-1.0,
μορφή,268,christian_0_300,-1.0,
ἰώαννης,268,christian_0_300,-1,
ἔξεστι,267,christian_0_300,-1.0,
ἐκεῖνος,267,christian_0_300,-1.0,
ἐνδύω,266,christian_0_300,-1.0,
οὐράνιος,266,christian_0_300,-1.0,
πτωχός,266,christian_0_300,-1.0,
κατηγορέω,266,christian_0_300,5,
ἁρμόζω,266,christian_0_300,-1.0,
ὑπόκειμαι,266,christian_0_300,-1.0,
ἐπιτίθημι,265,christian_0_300,-1.0,
φανερός,265,christian_0_300,-1.0,
ἑτοιμάζω,264,christian_0_300,-1.0,
γαμέω,264,christian_0_300,-1.0,
λύπη,264,christian_0_300,-1,
προαίρεσις,264,christian_0_300,-1.0,
σελήνη,263,christian_0_300,-1.0,
ἀποφαίνω,263,christian_0_300,-1.0,
οἰκέω,262,christian_0_300,-1.0,
ἑορτή,261,christian_0_300,-1.0,
ἱστορέω,261,christian_0_300,-1.0,
σύμβολον,261,christian_0_300,-1.0,
κλῆρος,260,christian_0_300,-1.0,
μετέχω,260,christian_0_300,-1.0,
ᾅδης,260,christian_0_300,1,
ἔννοια,259,christian_0_300,-1.0,
βάπτισμα,258,christian_0_300,-1.0,
παρουσία,258,christian_0_300,-1.0,
θύω,258,christian_0_300,-1.0,
ἐπιδημία,258,christian_0_300,-1.0,
